id,label,text,source,char_count,word_count,avg_word_len,digit_count,uppercase_ratio,exclamation_count,has_exclamation,question_count,contains_no,first_second_pronoun_count,log_length,has_url,has_phone,has_money,urgent_terms,action_terms,credential_terms,request_terms,social_engineering_terms,khmer_chars,khmer_credential_terms,khmer_request_terms,khmer_social_engineering_terms,credential_request,scam_word_hits,safe_word_hits,scam_word_density,safe_word_density
safe_00011,safe,"Yes, the weather is quite hot today. Make sure to stay hydrated. Have a great day. (191)",provided,88,16,4.0625,3,0.047619047619047616,0,0,0,0,0,4.477336814478207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0.0,0.25
safe_00012,safe,ខ្ញុំកំពុងរៀបចំស្លាយ PowerPoint សម្រាប់ការពារនិក្ខេបបទកិច្ចការស្រាវជ្រាវរបស់ខ្ញុំ។ ជម្រាបលា។ (106),provided,98,81,1.1358024691358024,3,0.03571428571428571,0,0,0,0,0,4.584967478670572,0,0,0,0,0,0,0,0,79,0,0,0,0,77,78,0.9506172839506173,0.9629629629629629
safe_00013,safe,"Good morning team, please review the latest updates added to GitHub. Best regards. (183)",provided,88,14,5.0,3,0.05970149253731343,0,0,0,0,0,4.477336814478207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.21428571428571427
safe_00014,safe,ចាសបង! ចាំខ្ញុំប្រាប់គាត់ឱ្យទាក់ទងទៅបងវិញនៅពេលបន្តិចទៀតនេះ។ ជម្រាបលា។ (846),provided,75,67,1.0298507462686568,3,0.0,1,1,0,0,0,4.31748811353631,0,0,0,0,0,0,0,0,66,0,1,0,0,64,63,0.9552238805970149,0.9402985074626866
safe_00015,safe,"Thanks for helping me debug the regression model earlier, it runs perfectly. Best regards. (484)",provided,96,15,5.133333333333334,3,0.02702702702702703,0,0,0,0,1,4.564348191467836,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.06666666666666667,0.3333333333333333
safe_00016,safe,The project presentation is scheduled for next Thursday. Let's practice. Have a great day. (839),provided,96,14,5.428571428571429,3,0.0547945205479452,0,0,0,0,0,4.564348191467836,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.14285714285714285,0.35714285714285715
safe_00017,safe,តើអ្នកបានធ្វើកិច្ចការផ្ទះមុខវិជ្ជា Data Science ហើយឬនៅ? ជួយពន្យល់ខ្ញុំផង។ បាទបង! (731),provided,86,65,1.1692307692307693,3,0.04081632653061224,1,1,1,0,0,4.454347296253507,0,0,0,0,0,0,0,0,62,0,0,0,0,60,62,0.9230769230769231,0.9538461538461539
safe_00018,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ (358),provided,85,77,1.025974025974026,4,0.0,1,1,0,0,0,4.442651256490317,0,0,0,0,0,0,0,0,75,0,0,0,0,72,73,0.935064935064935,0.948051948051948
safe_00019,safe,មេរៀនថ្ងៃនេះពិបាកយល់បន្តិច ចាំយប់ឡើងមកពិភាក្សានៅក្នុងគ្រុបបន្ថែម។ ជម្រាបលា។ (435),provided,81,74,1.027027027027027,3,0.0,0,0,0,0,0,4.394449154672439,0,0,0,0,0,0,0,0,73,0,0,0,0,71,71,0.9594594594594594,0.9594594594594594
safe_00020,safe,សប្តាហ៍ក្រោយសាលានឹងរៀបចំកម្មវិធីពិព័រណ៍ស្នាដៃនិស្សិតហើយ។ (782),provided,62,57,1.0350877192982457,3,0.0,0,0,0,0,0,4.127134385045092,0,0,0,0,0,0,0,0,56,0,0,0,0,52,55,0.9122807017543859,0.9649122807017544
safe_00021,safe,"Good morning team, please review the latest updates added to GitHub. Thanks! (783)",provided,82,13,5.0,3,0.06451612903225806,1,1,0,0,0,4.406719247264253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.23076923076923078
safe_00022,safe,សប្តាហ៍ក្រោយសាលានឹងរៀបចំកម្មវិធីពិព័រណ៍ស្នាដៃនិស្សិតហើយ។ ជម្រាបលា។ (267),provided,72,66,1.0303030303030303,3,0.0,0,0,0,0,0,4.276666119016055,0,0,0,0,0,0,0,0,65,0,0,0,0,60,63,0.9090909090909091,0.9545454545454546
safe_00023,safe,បាទបង! ខ្ញុំបានផ្ញើឯកសាររបាយការណ៍ទៅតាមអ៊ីមែលរួចរាល់ហើយ។ សូមពិនិត្យមើល។ សូមអរគុណ។ (731),provided,86,77,1.025974025974026,3,0.0,1,1,0,0,0,4.454347296253507,0,0,0,0,0,0,0,0,76,0,1,0,0,71,73,0.922077922077922,0.948051948051948
safe_00024,safe,"Yes, the weather is quite hot today. Make sure to stay hydrated. Thanks! (249)",provided,78,14,4.214285714285714,3,0.05357142857142857,1,1,0,0,0,4.356708826689592,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.21428571428571427
safe_00025,safe,មេរៀនថ្ងៃនេះពិបាកយល់បន្តិច ចាំយប់ឡើងមកពិភាក្សានៅក្នុងគ្រុបបន្ថែម។ ជម្រាបលា។ (600),provided,81,74,1.027027027027027,3,0.0,0,0,0,0,0,4.394449154672439,0,0,0,0,0,0,0,0,73,0,0,0,0,71,71,0.9594594594594594,0.9594594594594594
safe_00026,safe,Are you going to attend the seminar on cybersecurity held in the main auditorium? Let me know. (563),provided,100,18,4.388888888888889,3,0.02631578947368421,0,0,1,0,2,4.605170185988092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
safe_00027,safe,សប្តាហ៍ក្រោយសាលានឹងរៀបចំកម្មវិធីពិព័រណ៍ស្នាដៃនិស្សិតហើយ។ បាទបង! (405),provided,69,62,1.032258064516129,3,0.0,1,1,0,0,0,4.23410650459726,0,0,0,0,0,0,0,0,61,0,0,0,0,57,60,0.9193548387096774,0.967741935483871
safe_00028,safe,មេរៀនថ្ងៃនេះពិបាកយល់បន្តិច ចាំយប់ឡើងមកពិភាក្សានៅក្នុងគ្រុបបន្ថែម។ បាទបង! (774),provided,78,70,1.0285714285714285,3,0.0,1,1,0,0,0,4.356708826689592,0,0,0,0,0,0,0,0,69,0,0,0,0,68,68,0.9714285714285714,0.9714285714285714
safe_00029,safe,"Hello professor, I have uploaded my research proposal draft to the system. Have a great day. (372)",provided,98,15,5.0,3,0.04054054054054054,0,0,0,0,2,4.584967478670572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.4
safe_00030,safe,Don't forget to submit the Python assignment before midnight. Have a great day. (192),provided,85,13,5.153846153846154,3,0.046875,0,0,0,0,0,4.442651256490317,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0.0,0.3076923076923077
safe_00031,safe,The reference material you suggested was highly useful for my literature review. Have a great day. (641),provided,104,16,5.1875,3,0.024691358024691357,0,0,0,0,2,4.6443908991413725,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.0625,0.375
safe_00032,safe,The project presentation is scheduled for next Thursday. Let's practice. Have a great day. (940),provided,96,14,5.428571428571429,3,0.0547945205479452,0,0,0,0,0,4.564348191467836,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.14285714285714285,0.35714285714285715
safe_00033,safe,The reference material you suggested was highly useful for my literature review. Let me know. (105),provided,99,16,5.0,3,0.025974025974025976,0,0,0,0,3,4.59511985013459,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0625,0.25
safe_00034,safe,កុំភ្លេចផ្ញើឯកសារ Word មកឱ្យខ្ញុំតាមតេឡេក្រាមផងបង។ ជម្រាបលា។ (974),provided,66,55,1.0909090909090908,3,0.027777777777777776,0,0,0,0,0,4.189654742026425,0,0,0,0,0,0,0,0,53,0,1,0,0,50,51,0.9090909090909091,0.9272727272727272
safe_00035,safe,"Thanks for helping me debug the regression model earlier, it runs perfectly. Have a great day. (398)",provided,100,16,4.875,3,0.02631578947368421,0,0,0,0,1,4.605170185988092,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.0625,0.375
safe_00036,safe,The project presentation is scheduled for next Thursday. Let's practice. Thanks! (412),provided,86,12,5.833333333333333,3,0.06060606060606061,1,1,0,0,0,4.454347296253507,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.16666666666666666,0.3333333333333333
safe_00037,safe,បាទបង! ខ្ញុំបានផ្ញើឯកសាររបាយការណ៍ទៅតាមអ៊ីមែលរួចរាល់ហើយ។ សូមពិនិត្យមើល។ បាទបង! (351),provided,83,73,1.0273972602739727,3,0.0,2,1,0,0,0,4.418840607796598,0,0,0,0,0,0,0,0,72,0,1,0,0,68,70,0.9315068493150684,0.958904109589041
safe_00038,safe,Don't forget to submit the Python assignment before midnight. Best regards. (101),provided,81,12,5.5,3,0.04838709677419355,0,0,0,0,0,4.394449154672439,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0.0,0.25
safe_00039,safe,ចាសបង! ចាំខ្ញុំប្រាប់គាត់ឱ្យទាក់ទងទៅបងវិញនៅពេលបន្តិចទៀតនេះ។ បាទបង! (335),provided,72,63,1.0317460317460319,3,0.0,2,1,0,0,0,4.276666119016055,0,0,0,0,0,0,0,0,62,0,1,0,0,61,60,0.9682539682539683,0.9523809523809523
safe_00040,safe,សូមអរគុណសម្រាប់ការគាំទ្រ និងការជឿជាក់លើសេវាកម្មរបស់យើងខ្ញុំ។ (780),provided,66,60,1.0333333333333334,3,0.0,0,0,0,0,0,4.189654742026425,0,0,0,0,0,0,0,0,59,0,0,0,0,58,57,0.9666666666666667,0.95
safe_00041,safe,"Yes, the weather is quite hot today. Make sure to stay hydrated. Have a great day. (827)",provided,88,16,4.0625,3,0.047619047619047616,0,0,0,0,0,4.477336814478207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0.0,0.25
safe_00042,safe,Don't forget to submit the Python assignment before midnight. Have a great day. (762),provided,85,13,5.153846153846154,3,0.046875,0,0,0,0,0,4.442651256490317,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0.0,0.3076923076923077
safe_00043,safe,"Good morning team, please review the latest updates added to GitHub. Let me know. (834)",provided,87,15,4.533333333333333,3,0.06153846153846154,0,0,0,0,1,4.465908118654584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.13333333333333333
safe_00044,safe,Don't forget to submit the Python assignment before midnight. Let me know. (550),provided,80,13,4.923076923076923,3,0.05,0,0,0,0,1,4.382026634673881,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0.0,0.15384615384615385
safe_00045,safe,ចាសបង! ចាំខ្ញុំប្រាប់គាត់ឱ្យទាក់ទងទៅបងវិញនៅពេលបន្តិចទៀតនេះ។ (864),provided,65,58,1.0344827586206897,3,0.0,1,1,0,0,0,4.174387269895637,0,0,0,0,0,0,0,0,57,0,1,0,0,56,55,0.9655172413793104,0.9482758620689655
safe_00046,safe,ល្ងាចនេះទំនេរទេ? ទៅញ៉ាំអីជុំគ្នាអត់ដឹងហាងណាឆ្ងាញ់ទេ? សូមអរគុណ។ (846),provided,68,59,1.0338983050847457,3,0.0,0,0,2,0,0,4.219507705176107,0,0,0,0,0,0,0,0,58,0,0,0,0,55,57,0.9322033898305084,0.9661016949152542
safe_00047,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ ជម្រាបលា។ (588),provided,95,86,1.0232558139534884,4,0.0,1,1,0,0,0,4.553876891600541,0,0,0,0,0,0,0,0,84,0,0,0,0,80,81,0.9302325581395349,0.9418604651162791
safe_00048,safe,តើអ្នកបានធ្វើកិច្ចការផ្ទះមុខវិជ្ជា Data Science ហើយឬនៅ? ជួយពន្យល់ខ្ញុំផង។ បាទបង! (419),provided,86,65,1.1692307692307693,3,0.04081632653061224,1,1,1,0,0,4.454347296253507,0,0,0,0,0,0,0,0,62,0,0,0,0,60,62,0.9230769230769231,0.9538461538461539
safe_00049,safe,សូមអរគុណសម្រាប់ការគាំទ្រ និងការជឿជាក់លើសេវាកម្មរបស់យើងខ្ញុំ។ ជម្រាបលា។ (111),provided,76,69,1.0289855072463767,3,0.0,0,0,0,0,0,4.330733340286331,0,0,0,0,0,0,0,0,68,0,0,0,0,66,65,0.9565217391304348,0.9420289855072463
safe_00050,safe,កុំភ្លេចផ្ញើឯកសារ Word មកឱ្យខ្ញុំតាមតេឡេក្រាមផងបង។ បាទបង! (800),provided,63,51,1.0980392156862746,3,0.02857142857142857,1,1,0,0,0,4.143134726391533,0,0,0,0,0,0,0,0,49,0,1,0,0,47,48,0.9215686274509803,0.9411764705882353
safe_00051,safe,The project presentation is scheduled for next Thursday. Let's practice. Let me know. (161),provided,91,14,5.214285714285714,3,0.057971014492753624,0,0,0,0,1,4.51085950651685,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.14285714285714285,0.21428571428571427
safe_00052,safe,Can you please let me know when the next enrollment window opens up? Have a great day. (268),provided,92,17,4.117647058823529,3,0.029411764705882353,0,0,1,0,2,4.5217885770490405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.11764705882352941
safe_00053,safe,តើអ្នកបានធ្វើកិច្ចការផ្ទះមុខវិជ្ជា Data Science ហើយឬនៅ? ជួយពន្យល់ខ្ញុំផង។ សូមអរគុណ។ (111),provided,89,69,1.1594202898550725,3,0.0392156862745098,0,0,1,0,0,4.48863636973214,0,0,0,0,0,0,0,0,66,0,0,0,0,63,65,0.9130434782608695,0.9420289855072463
safe_00054,safe,"Hello professor, I have uploaded my research proposal draft to the system. Have a great day. (990)",provided,98,15,5.0,3,0.04054054054054054,0,0,0,0,2,4.584967478670572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.4
safe_00055,safe,"Hey, are we still meeting up for coffee tomorrow afternoon at ITC? Thanks! (322)",provided,80,14,4.428571428571429,3,0.0847457627118644,1,1,1,0,0,4.382026634673881,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.07142857142857142,0.5
safe_00056,safe,Don't forget to submit the Python assignment before midnight. Have a great day. (928),provided,85,13,5.153846153846154,3,0.046875,0,0,0,0,0,4.442651256490317,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0.0,0.3076923076923077
safe_00057,safe,ចាសបង! ចាំខ្ញុំប្រាប់គាត់ឱ្យទាក់ទងទៅបងវិញនៅពេលបន្តិចទៀតនេះ។ បាទបង! (818),provided,72,63,1.0317460317460319,3,0.0,2,1,0,0,0,4.276666119016055,0,0,0,0,0,0,0,0,62,0,1,0,0,61,60,0.9682539682539683,0.9523809523809523
safe_00058,safe,"Thanks for helping me debug the regression model earlier, it runs perfectly. Best regards. (237)",provided,96,15,5.133333333333334,3,0.02702702702702703,0,0,0,0,1,4.564348191467836,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.06666666666666667,0.3333333333333333
safe_00059,safe,ល្ងាចនេះទំនេរទេ? ទៅញ៉ាំអីជុំគ្នាអត់ដឹងហាងណាឆ្ងាញ់ទេ? បាទបង! (613),provided,65,55,1.0363636363636364,3,0.0,1,1,2,0,0,4.174387269895637,0,0,0,0,0,0,0,0,54,0,0,0,0,52,54,0.9454545454545454,0.9818181818181818
safe_00060,safe,បាទបង! ខ្ញុំបានផ្ញើឯកសាររបាយការណ៍ទៅតាមអ៊ីមែលរួចរាល់ហើយ។ សូមពិនិត្យមើល។ (924),provided,76,68,1.0294117647058822,3,0.0,1,1,0,0,0,4.330733340286331,0,0,0,0,0,0,0,0,67,0,1,0,0,63,65,0.9264705882352942,0.9558823529411765
safe_00061,safe,"Thanks for helping me debug the regression model earlier, it runs perfectly. Have a great day. (448)",provided,100,16,4.875,3,0.02631578947368421,0,0,0,0,1,4.605170185988092,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.0625,0.375
safe_00062,safe,សូមអរគុណសម្រាប់ការគាំទ្រ និងការជឿជាក់លើសេវាកម្មរបស់យើងខ្ញុំ។ សូមអរគុណ។ (110),provided,76,69,1.0289855072463767,3,0.0,0,0,0,0,0,4.330733340286331,0,0,0,0,0,0,0,0,68,0,0,0,0,66,65,0.9565217391304348,0.9420289855072463
safe_00063,safe,"Hey, are we still meeting up for coffee tomorrow afternoon at ITC? Have a great day. (133)",provided,90,16,4.25,3,0.07575757575757576,0,0,1,0,0,4.499809670330265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0625,0.5
safe_00064,safe,បាទបង! ខ្ញុំបានផ្ញើឯកសាររបាយការណ៍ទៅតាមអ៊ីមែលរួចរាល់ហើយ។ សូមពិនិត្យមើល។ (822),provided,76,68,1.0294117647058822,3,0.0,1,1,0,0,0,4.330733340286331,0,0,0,0,0,0,0,0,67,0,1,0,0,63,65,0.9264705882352942,0.9558823529411765
safe_00065,safe,"Hey, are we still meeting up for coffee tomorrow afternoon at ITC? Thanks! (778)",provided,80,14,4.428571428571429,3,0.0847457627118644,1,1,1,0,0,4.382026634673881,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.07142857142857142,0.5
safe_00066,safe,Don't forget to submit the Python assignment before midnight. Let me know. (542),provided,80,13,4.923076923076923,3,0.05,0,0,0,0,1,4.382026634673881,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0.0,0.15384615384615385
safe_00067,safe,"Hello professor, I have uploaded my research proposal draft to the system. Thanks! (316)",provided,88,13,5.3076923076923075,3,0.04477611940298507,1,1,0,0,2,4.477336814478207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.38461538461538464
safe_00068,safe,សូមអរគុណសម្រាប់ការគាំទ្រ និងការជឿជាក់លើសេវាកម្មរបស់យើងខ្ញុំ។ ជម្រាបលា។ (931),provided,76,69,1.0289855072463767,3,0.0,0,0,0,0,0,4.330733340286331,0,0,0,0,0,0,0,0,68,0,0,0,0,66,65,0.9565217391304348,0.9420289855072463
safe_00069,safe,The project presentation is scheduled for next Thursday. Let's practice. Thanks! (492),provided,86,12,5.833333333333333,3,0.06060606060606061,1,1,0,0,0,4.454347296253507,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.16666666666666666,0.3333333333333333
safe_00070,safe,Don't forget to submit the Python assignment before midnight. Thanks! (447),provided,75,11,5.545454545454546,3,0.05263157894736842,1,1,0,0,0,4.31748811353631,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0.0,0.2727272727272727
safe_00071,safe,Can you please let me know when the next enrollment window opens up? Have a great day. (572),provided,92,17,4.117647058823529,3,0.029411764705882353,0,0,1,0,2,4.5217885770490405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.11764705882352941
safe_00072,safe,តើអ្នកបានធ្វើកិច្ចការផ្ទះមុខវិជ្ជា Data Science ហើយឬនៅ? ជួយពន្យល់ខ្ញុំផង។ (148),provided,79,60,1.1833333333333333,3,0.044444444444444446,0,0,1,0,0,4.3694478524670215,0,0,0,0,0,0,0,0,57,0,0,0,0,55,57,0.9166666666666666,0.95
safe_00073,safe,"Yes, the weather is quite hot today. Make sure to stay hydrated. Let me know. (110)",provided,83,16,3.875,3,0.05084745762711865,0,0,0,0,1,4.418840607796598,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.125
safe_00074,safe,ចាសបង! ចាំខ្ញុំប្រាប់គាត់ឱ្យទាក់ទងទៅបងវិញនៅពេលបន្តិចទៀតនេះ។ សូមអរគុណ។ (533),provided,75,67,1.0298507462686568,3,0.0,1,1,0,0,0,4.31748811353631,0,0,0,0,0,0,0,0,66,0,1,0,0,64,63,0.9552238805970149,0.9402985074626866
safe_00075,safe,Don't forget to submit the Python assignment before midnight. Best regards. (223),provided,81,12,5.5,3,0.04838709677419355,0,0,0,0,0,4.394449154672439,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0.0,0.25
safe_00076,safe,"Hello professor, I have uploaded my research proposal draft to the system. Have a great day. (921)",provided,98,15,5.0,3,0.04054054054054054,0,0,0,0,2,4.584967478670572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.4
safe_00077,safe,"Hey, are we still meeting up for coffee tomorrow afternoon at ITC? Thanks! (957)",provided,80,14,4.428571428571429,3,0.0847457627118644,1,1,1,0,0,4.382026634673881,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.07142857142857142,0.5
safe_00078,safe,សូមអរគុណសម្រាប់ការគាំទ្រ និងការជឿជាក់លើសេវាកម្មរបស់យើងខ្ញុំ។ សូមអរគុណ។ (949),provided,76,69,1.0289855072463767,3,0.0,0,0,0,0,0,4.330733340286331,0,0,0,0,0,0,0,0,68,0,0,0,0,66,65,0.9565217391304348,0.9420289855072463
safe_00079,safe,The project presentation is scheduled for next Thursday. Let's practice. Have a great day. (632),provided,96,14,5.428571428571429,3,0.0547945205479452,0,0,0,0,0,4.564348191467836,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.14285714285714285,0.35714285714285715
safe_00080,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ បាទបង! (359),provided,92,82,1.024390243902439,4,0.0,2,1,0,0,0,4.5217885770490405,0,0,0,0,0,0,0,0,80,0,0,0,0,77,78,0.9390243902439024,0.9512195121951219
safe_00081,safe,"Thanks for helping me debug the regression model earlier, it runs perfectly. Have a great day. (431)",provided,100,16,4.875,3,0.02631578947368421,0,0,0,0,1,4.605170185988092,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.0625,0.375
safe_00082,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ បាទបង! (816),provided,92,82,1.024390243902439,4,0.0,2,1,0,0,0,4.5217885770490405,0,0,0,0,0,0,0,0,80,0,0,0,0,77,78,0.9390243902439024,0.9512195121951219
safe_00083,safe,The project presentation is scheduled for next Thursday. Let's practice. Best regards. (888),provided,92,13,5.769230769230769,3,0.056338028169014086,0,0,0,0,0,4.5217885770490405,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.15384615384615385,0.3076923076923077
safe_00084,safe,"Thanks for helping me debug the regression model earlier, it runs perfectly. Thanks! (539)",provided,90,14,5.142857142857143,3,0.028985507246376812,1,1,0,0,1,4.499809670330265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.07142857142857142,0.35714285714285715
safe_00085,safe,The project presentation is scheduled for next Thursday. Let's practice. Thanks! (200),provided,86,12,5.833333333333333,3,0.06060606060606061,1,1,0,0,0,4.454347296253507,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.16666666666666666,0.3333333333333333
safe_00086,safe,"Good morning team, please review the latest updates added to GitHub. Have a great day. (247)",provided,92,15,4.733333333333333,3,0.057971014492753624,0,0,0,0,0,4.5217885770490405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.26666666666666666
safe_00087,safe,"Thanks for helping me debug the regression model earlier, it runs perfectly. Let me know. (507)",provided,95,16,4.6875,3,0.027777777777777776,0,0,0,0,2,4.553876891600541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0625,0.25
safe_00088,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ ជម្រាបលា។ (193),provided,95,86,1.0232558139534884,4,0.0,1,1,0,0,0,4.553876891600541,0,0,0,0,0,0,0,0,84,0,0,0,0,80,81,0.9302325581395349,0.9418604651162791
safe_00089,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ សូមអរគុណ។ (443),provided,95,86,1.0232558139534884,4,0.0,1,1,0,0,0,4.553876891600541,0,0,0,0,0,0,0,0,84,0,0,0,0,80,81,0.9302325581395349,0.9418604651162791
