id,label,text,scam_type,language,source,collection_method
uci_sms_00027,safe,Lol your always so convincing.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00028,safe,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00029,safe,"I'm back &amp; we're packing the car now, I'll let you know if there's room",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00030,safe,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00031,safe,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00032,safe,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00033,safe,K tell me anything about you.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00034,safe,For fear of fainting with the of all that housework you just did? Quick have a cuppa,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00035,scam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00036,safe,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00037,safe,"Oops, I'll let you know when my roommate's done",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00038,safe,I see the letter B on my car,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00039,safe,Anything lor... U decide...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00040,safe,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00041,safe,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00042,safe,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00043,scam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00044,safe,WHO ARE YOU SEEING?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00045,safe,Great! I hope you like your man well endowed. I am &lt;#&gt; inches...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00046,safe,No calls..messages..missed calls,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00047,safe,Didn't you get hep b immunisation in nigeria.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00048,safe,"Fair enough, anything going on?",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00049,safe,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00050,safe,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00051,safe,What you thinked about me. First time you saw me in class.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00052,safe,"A gram usually runs like &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt;",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00053,safe,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00054,safe,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00055,scam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00056,safe,Do you know what Mallika Sherawat did yesterday? Find out now @ &lt;URL&gt;,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00057,scam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00058,safe,"Sorry, I'll call later in meeting.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00059,safe,Tell where you reached,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00060,safe,Yes..gauti and sehwag out of odi series.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00061,safe,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00062,safe,Ha ha ha good joke. Girls are situation seekers.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00063,safe,Its a part of checking IQ,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00064,safe,"Sorry my roommates took forever, it ok if I come by now?",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00065,safe,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00066,scam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00067,safe,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00068,scam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00069,scam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00070,safe,I plane to give on this month end.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00071,safe,Wah lucky man... Then can save money... Hee...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00072,safe,Finished class where are you.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00073,safe,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00074,safe,K..k:)where are you?how did you performed?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00075,safe,U can call me now...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00076,safe,I am waiting machan. Call me once you free.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00077,safe,Thats cool. i am a gentleman and will treat you with dignity and respect.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00078,safe,I like you peoples very much:) but am very shy pa.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00079,safe,Does not operate after &lt;#&gt; or what,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00080,safe,Its not the same here. Still looking for a job. How much do Ta's earn there.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00081,safe,"Sorry, I'll call later",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00082,safe,K. Did you call me just now ah?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00083,safe,Ok i am on the way to home hi hi,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00084,safe,You will be in the place of that man,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00085,safe,Yup next stop.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00086,safe,"I call you later, don't have network. If urgnt, sms me.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00087,safe,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00088,safe,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00089,safe,I'm really not up to it still tonight babe,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00090,safe,"Ela kano.,il download, come wen ur free..",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00091,safe,Yeah do! Don‘t stand to close tho- you‘ll catch something!,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00092,safe,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00093,safe,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00094,scam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00095,safe,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00096,scam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00097,safe,Watching telugu movie..wat abt u?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00098,safe,i see. When we finish we have loads of loans to pay,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00099,safe,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00100,safe,I see a cup of coffee animation,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00101,safe,Please don't text me anymore. I have nothing else to say.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00102,safe,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00103,safe,I'm still looking for a car to buy. And have not gone 4the driving test yet.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00105,safe,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00106,safe,Umma my life and vava umma love you lot dear,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00107,safe,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00108,safe,"Aight, I'll hit you up when I get some cash",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00109,safe,How would my ip address test that considering my computer isn't a minecraft server,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00110,safe,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00111,safe,Dont worry. I guess he's busy.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00112,safe,What is the plural of the noun research?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00113,safe,Going for dinner.msg you after.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00114,safe,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00115,scam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00116,safe,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00117,safe,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00118,scam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00119,safe,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00120,safe,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00121,scam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00122,scam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00123,safe,here is my new address -apples&pairs&all that malarky,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00124,scam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00125,safe,I am going to sao mu today. Will be done only at 12,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00126,safe,Ü predict wat time ü'll finish buying?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00127,safe,"Good stuff, will do.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00128,safe,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00129,safe,Are you there in room.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00130,safe,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00131,safe,K..k:)how much does it cost?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00132,safe,I'm home.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00133,safe,"Dear, will call Tmorrow.pls accomodate.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00134,safe,First answer my question.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00135,scam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00136,scam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00137,safe,I only haf msn. It's yijue@hotmail.com,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00138,safe,He is there. You call and meet him,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00139,safe,No no. I will check all rooms befor activities,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00140,scam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00141,safe,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00142,safe,"K, text me when you're on the way",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00143,safe,"Sir, Waiting for your mail.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00144,safe,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00145,safe,I know you are. Can you pls open the back?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00146,safe,Yes see ya not on the dot,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00147,safe,Whats the staff name who is taking class for us?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00148,scam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00149,safe,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00150,safe,K..i deleted my contact that why?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00151,safe,Sindu got job in birla soft ..,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00152,safe,The wine is flowing and i'm i have nevering..,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00153,safe,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00154,safe,Ok... Ur typical reply...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00156,safe,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00157,safe,Aaooooright are you at work?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00158,safe,I'm leaving my house now...,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00159,safe,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00160,scam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00161,scam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00162,safe,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00163,safe,New car and house for my parents.:)i have only new job in hand:),safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00164,safe,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00165,scam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00166,scam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00167,safe,I place all ur points on e cultures module already.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00168,scam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam_or_unspecified,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00169,safe,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00170,safe,Great escape. I fancy the bridge but needs her lager. See you tomo,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00171,safe,Yes :)it completely in out of form:)clark also utter waste.,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00172,safe,"Sir, I need AXIS BANK account no and bank address.",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00173,safe,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00174,safe,What time you coming down later?,safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
uci_sms_00175,safe,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",safe_personal,en,UCI SMS Spam Collection,downloaded_public_dataset
